delta_bits,count
00111010100111010010010111000011111101001110000000111001111001111101111011001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111001110110100011100010001000111101100000111111010100111100000100110000100100000101000,7
00001010000010010000110010000011110010101111110000011011110001000100011100010110111001110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000111000001001101111011111001111001110000000111001011111100001110100100101110010101110,7
00001010000010010000110010000011110010101111110000011011110001000100011101010110111011110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000111000001001101111011011001111001110000000111001011111100001110100100101110010101110,2
00111010100111010010010111000011111101001110000000111001111001111101111010001000001100000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111001110110100011100010101000111101100000111111010100111100000100110000100100000101000,2
00001010000000010000110010000011110010101111110000011011110001000100011101010110111011110100111011001011101100010000010100111000001010000011100110111101011110000110010100111000100010111101010100111101001001111100000111000001001101111011011001111001110010000111001011111100001110100100101110010101110,2
00111010100101010010010111000011111101001110000000111001111001111101111010001000001100000011111001001011110010101011110100010011110010100110000111101011110110011100000101000101110010100000100011011101001101110010111001110110100011100010101000111101100010111111010100111100000100110000100100000101000,2
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010000010100111000001010000011100110111101011110000110010000111000101010111101010100111101000001111100001111000001001101111011011001111001100010000111001011111100001110100100100110010101110,2
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101011110100010011110010100110000111101011110110011100000001000101111010100000100011011101000101110010110001110110100011100010101000111101110010111111010100111100000100110000101100000101000,2
00111010100110010010010111000011111101001110000100011001111001101101111011001000001111000011111000001011110010101011110101010001110000100110000111101011110110011100000101000001110010100000100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,2
00001010000011010000110010000011110010101111110100111011110001010100011100010110111000110100111010001011101100010000010101111010001000000011100110111101011110000110010100111100100010111101010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,2
00001010000010010000110010000011110010101111110000011011110001000100011101010110111001110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000111000001001101111011111001111001110000000111001011111100001110100100101110010101110,1
00111010100111010010010111000011111101001110000000111001111001111101111010001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111001110110100011100010001000111101100000111111010100111100000100110000100100000101000,1
00111010100111010010010111000011111101001110000000111001111001111101111011001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111001110110101011100010001000111101100000111111010100111100000100110000100100000101000,1
00001010000010010000110010000011110010101111110000011011110001000100011100010110111001110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000111000001000101111011111001111001110000000111001011111100001110100100101110010101110,1
00111010100111010010010111000011111101001110000000111001111001101101111011001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111101110110101011100010001000111101100000111111010100111100000100110000100100000101000,1
00001010000010010000110010000011110010101111110000011011110001010100011100010110111001110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000011000001000101111011111001111001110000000111001011111100001110100100101110010101110,1
00111010100111010010010111000011111101001110000100111001111001101101111011001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111101110110101011100010001000111101100000111111010100111100000100110000100000000101000,1
