offset,index,token,is_delimiter
0,0,11001,0
0,1,11111,1
0,2,10011,0
0,3,11000,0
0,4,11101,0
0,5,11101,0
0,6,11110,0
0,7,00111,0
0,8,00100,0
0,9,11000,0
0,10,10110,0
0,11,00001,0
0,12,10000,0
0,13,11101,0
0,14,01110,0
0,15,01101,0
0,16,10001,0
0,17,11000,0
0,18,00011,0
0,19,10010,0
0,20,01101,0
0,21,10010,0
0,22,00010,0
0,23,01101,0
0,24,00110,0
0,25,11111,1
0,26,11111,1
0,27,11100,0
0,28,00000,0
0,29,11000,0
0,30,10110,0
0,31,00001,0
0,32,10011,0
0,33,01110,0
0,34,00001,0
0,35,11000,0
0,36,10101,0
0,37,11111,1
0,38,00110,0
0,39,10110,0
0,40,01011,0
0,41,11011,0
0,42,10100,0
0,43,01010,0
0,44,11001,0
0,45,00000,0
0,46,11011,0
0,47,11101,0
0,48,11000,0
0,49,11100,0
0,50,00010,0
0,51,11100,0
0,52,10011,0
0,53,11111,1
0,54,10110,0
0,55,11110,0
0,56,01011,0
0,57,10011,0
0,58,10111,0
1,0,10011,0
1,1,11111,1
1,2,00111,0
1,3,10001,0
1,4,11011,0
1,5,11011,0
1,6,11100,0
1,7,01110,0
1,8,01001,0
1,9,10001,0
1,10,01100,0
1,11,00011,0
1,12,00001,0
1,13,11010,0
1,14,11100,0
1,15,11011,0
1,16,00011,0
1,17,10000,0
1,18,00111,0
1,19,00100,0
1,20,11011,0
1,21,00100,0
1,22,00100,0
1,23,11010,0
1,24,01101,0
1,25,11111,1
1,26,11111,1
1,27,11000,0
1,28,00001,0
1,29,10001,0
1,30,01100,0
1,31,00011,0
1,32,00110,0
1,33,11100,0
1,34,00011,0
1,35,10001,0
1,36,01011,0
1,37,11110,0
1,38,01101,0
1,39,01100,0
1,40,10111,0
1,41,10111,0
1,42,01000,0
1,43,10101,0
1,44,10010,0
1,45,00001,0
1,46,10111,0
1,47,11011,0
1,48,10001,0
1,49,11000,0
1,50,00101,0
1,51,11001,0
1,52,00111,0
1,53,11111,1
1,54,01101,0
1,55,11100,0
1,56,10111,0
1,57,00111,0
1,58,01111,0
2,0,00111,0
2,1,11110,0
2,2,01111,0
2,3,00011,0
2,4,10111,0
2,5,10111,0
2,6,11000,0
2,7,11100,0
2,8,10011,0
2,9,00010,0
2,10,11000,0
2,11,00110,0
2,12,00011,0
2,13,10101,0
2,14,11001,0
2,15,10110,0
2,16,00111,0
2,17,00000,0
2,18,01110,0
2,19,01001,0
2,20,10110,0
2,21,01000,0
2,22,01001,0
2,23,10100,0
2,24,11011,0
2,25,11111,1
2,26,11111,1
2,27,10000,0
2,28,00011,0
2,29,00010,0
2,30,11000,0
2,31,00110,0
2,32,01101,0
2,33,11000,0
2,34,00111,0
2,35,00010,0
2,36,10111,0
2,37,11100,0
2,38,11010,0
2,39,11001,0
2,40,01111,0
2,41,01110,0
2,42,10001,0
2,43,01011,0
2,44,00100,0
2,45,00011,0
2,46,01111,0
2,47,10111,0
2,48,00011,0
2,49,10000,0
2,50,01011,0
2,51,10010,0
2,52,01111,0
2,53,11110,0
2,54,11011,0
2,55,11001,0
2,56,01110,0
2,57,01110,0
2,58,11111,1
3,0,01111,0
3,1,11100,0
3,2,11110,0
3,3,00111,0
3,4,01111,0
3,5,01111,0
3,6,10001,0
3,7,11001,0
3,8,00110,0
3,9,00101,0
3,10,10000,0
3,11,01100,0
3,12,00111,0
3,13,01011,0
3,14,10011,0
3,15,01100,0
3,16,01110,0
3,17,00000,0
3,18,11100,0
3,19,10011,0
3,20,01100,0
3,21,10000,0
3,22,10011,0
3,23,01001,0
3,24,10111,0
3,25,11111,1
3,26,11111,1
3,27,00000,0
3,28,00110,0
3,29,00101,0
3,30,10000,0
3,31,01100,0
3,32,11011,0
3,33,10000,0
3,34,01110,0
3,35,00101,0
3,36,01111,0
3,37,11001,0
3,38,10101,0
3,39,10010,0
3,40,11110,0
3,41,11101,0
3,42,00010,0
3,43,10110,0
3,44,01000,0
3,45,00110,0
3,46,11111,1
3,47,01110,0
3,48,00111,0
3,49,00000,0
3,50,10111,0
3,51,00100,0
3,52,11111,1
3,53,11101,0
3,54,10111,0
3,55,10010,0
3,56,11100,0
3,57,11101,0
3,58,11111,1
4,0,11111,1
4,1,11001,0
4,2,11100,0
4,3,01110,0
4,4,11110,0
4,5,11111,1
4,6,00011,0
4,7,10010,0
4,8,01100,0
4,9,01011,0
4,10,00000,0
4,11,11000,0
4,12,01110,0
4,13,10111,0
4,14,00110,0
4,15,11000,0
4,16,11100,0
4,17,00001,0
4,18,11001,0
4,19,00110,0
4,20,11001,0
4,21,00001,0
4,22,00110,0
4,23,10011,0
4,24,01111,0
4,25,11111,1
4,26,11110,0
4,27,00000,0
4,28,01100,0
4,29,01011,0
4,30,00000,0
4,31,11001,0
4,32,10111,0
4,33,00000,0
4,34,11100,0
4,35,01010,0
4,36,11111,1
4,37,10011,0
4,38,01011,0
4,39,00101,0
4,40,11101,0
4,41,11010,0
4,42,00101,0
4,43,01100,0
4,44,10000,0
4,45,01101,0
4,46,11110,0
4,47,11100,0
4,48,01110,0
4,49,00001,0
4,50,01110,0
4,51,01001,0
4,52,11111,1
4,53,11011,0
4,54,01111,0
4,55,00101,0
4,56,11001,0
4,57,11011,0
4,58,11111,1
