token_index,bits,ascii_val,char
0,1100111,103,g
1,1111001,121,y
2,1110001,113,q
3,1101111,111,o
4,0111110,62,>
5,0011100,28,
6,1001100,76,L
7,0101100,44,","
8,0001100,12,
9,0011101,29,
10,0111001,57,9
11,1011000,88,X
12,1110000,112,p
13,0011100,28,
14,1001101,77,M
15,1001000,72,H
16,0100110,38,&
17,1001101,77,M
18,1111111,127,
19,1111100,124,|
20,0000011,3,
21,0001011,11,
22,0000011,3,
23,0011011,27,
24,1000001,65,A
25,1100010,98,b
26,1011111,95,_
27,1001101,77,M
28,0110010,50,2
29,1111011,123,{
30,1010001,81,Q
31,0101100,44,","
32,1000001,65,A
33,1011111,95,_
34,0111000,56,8
35,1110000,112,p
36,0101110,46,.
37,0100111,39,'
38,1111101,125,}
39,1011110,94,^
40,0101110,46,.
41,0111011,59,;
