type,value,token_start,bit_start
prime,31,1,5
prime,19,2,10
prime,29,4,20
prime,29,5,25
prime,7,7,35
prime,29,13,65
prime,13,15,75
prime,17,16,80
prime,3,18,90
prime,13,20,100
prime,2,22,110
prime,13,23,115
prime,31,25,125
prime,31,26,130
prime,19,32,160
prime,31,37,185
prime,11,40,200
prime,29,47,235
prime,2,50,250
prime,19,52,260
prime,31,53,265
prime,11,56,280
prime,19,57,285
prime,23,58,290
prime,31,59,295
prime,61,4,24
prime,11,8,48
prime,53,11,66
prime,7,15,90
prime,13,19,114
prime,13,20,120
prime,43,30,180
prime,53,32,192
prime,37,33,198
prime,59,34,204
prime,43,36,216
prime,13,38,228
prime,61,39,234
prime,23,42,252
prime,59,48,288
prime,103,0,0
prime,113,2,14
prime,29,9,63
prime,127,18,126
prime,3,20,140
prime,11,21,147
prime,3,22,154
prime,59,41,287
prime,199,4,32
prime,7,11,88
prime,193,19,152
prime,131,21,168
prime,131,28,224
prime,199,30,240
prime,5,31,248
prime,239,36,288
prime,487,0,7
prime,479,2,25
prime,29,6,61
prime,211,12,115
prime,193,16,151
prime,311,17,160
prime,461,20,187
prime,131,24,223
prime,251,25,232
