token_index,bit_start,bit_end,bits,value_big,value_little
0,0,7,1100111,103,115
1,7,14,1111001,121,79
2,14,21,1110001,113,71
3,21,28,1101111,111,123
4,28,35,0111110,62,62
5,35,42,0011100,28,28
6,42,49,1001100,76,25
7,49,56,0101100,44,26
8,56,63,0001100,12,24
9,63,70,0011101,29,92
10,70,77,0111001,57,78
11,77,84,1011000,88,13
12,84,91,1110000,112,7
13,91,98,0011100,28,28
14,98,105,1001101,77,89
15,105,112,1001000,72,9
16,112,119,0100110,38,50
17,119,126,1001101,77,89
18,126,133,1111111,127,127
19,133,140,1111100,124,31
20,140,147,0000011,3,96
21,147,154,0001011,11,104
22,154,161,0000011,3,96
23,161,168,0011011,27,108
24,168,175,1000001,65,65
25,175,182,1100010,98,35
26,182,189,1011111,95,125
27,189,196,1001101,77,89
28,196,203,0110010,50,38
29,203,210,1111011,123,111
30,210,217,1010001,81,69
31,217,224,0101100,44,26
32,224,231,1000001,65,65
33,231,238,1011111,95,125
34,238,245,0111000,56,14
35,245,252,1110000,112,7
36,252,259,0101110,46,58
37,259,266,0100111,39,114
38,266,273,1111101,125,95
39,273,280,1011110,94,61
40,280,287,0101110,46,58
41,287,294,0111011,59,110
